Token,Trade/CA,Price,Market Cap,30m Change,24h Change,24h Volume,Liquidity & Trades (24h),Holders,Age,Ticker,Contract Address,Dexscreener URL,Twitter
"JTVO
Jatevo",TRADE,0.001132,$1.13M,↓8.82%,↑49.64%,$638.60K,"LIQ: $307.61K



Buy: 1.40K
Sell: 1.14K",2K,4mo,JTVO,9VY2rDbtsBmTsBxoRF8hWSEUKGqnoQoe9V6W3JnjNgfm,https://dexscreener.com/solana/EcL9YDP3PsViKs2aDzDeTYdNXUCPLDodcKTbS4ayqf4N,https://x.com/JatevoId
"YAPPER
Yapper",TRADE,0.000945,$934.93K,↑3.77%,↑46.90%,$95.56K,"LIQ: $205.81K



Buy: 150
Sell: 145",4K,5mo,YAPPER,H1aoUqmp2vJu5o8w3o8LjrN6jKyWErS69PtYxGhfoXxf,https://dexscreener.com/solana/ARwzSvwhpns5S2vAzTV41kra4qvRizbH3aS6ZWBf5usA,https://x.com/yapper_so
"SLSH
SLESH",TRADE,0.000913,$912.81K,↑3.28%,↑44.72%,$185.33K,"LIQ: $226.59K



Buy: 274
Sell: 299",797,5mo,SLSH,2enpSQzqEaouvWJNpPSbVxmWFqA15j2n18vYeFpFKxfp,https://dexscreener.com/solana/4HMhuZ23SgNcheNEPzoUGR7WM2SPeDUzY6yWBVEFW14k,https://x.com/getslesh
"INFRA
Infraxa",TRADE,0.000879,$878.88K,↓5.96%,↓5.92%,$77.10K,"LIQ: $220.12K



Buy: 218
Sell: 163",687,1w,INFRA,D1wZHkfk8d6QsCjF3NTiYHLzsZJ2Qb4Q7WBFFbGuzBLV,https://dexscreener.com/solana/5hRMtU4k8j1gNVdtKP4KSovDV9bRgUX8HV5Ly7uSiMz5,https://x.com/infraxa
"BELIEVEGPT
BelieveGPT",TRADE,0.000863,$862.78K,↓0.12%,↑12.39%,$52.83K,"LIQ: $227.46K



Buy: 160
Sell: 89",876,1mo,BELIEVEGPT,5tRLPc3JsbMh8QU7EebaPvTpExinXNA7B7R9MQcijBLV,https://dexscreener.com/solana/GGog8CECAPgRwmhMwpQp5ZG6mK8sD51XNaPxTZfZ9wTi,https://x.com/pnth_app
"HYLX
HyperSwapAI",TRADE,0.00085,$842.56K,↑3.02%,↓13.09%,$138.85K,"LIQ: $199.79K



Buy: 218
Sell: 242",1K,5mo,HYLX,7sYAhEucFNkme29jHqSeFYNenAgD8krH9KmJeUs8Un43,https://dexscreener.com/solana/HT5gGeKWXqeU5HGSMuKA43855ANGstt4EAp4R8ArHH5T,https://x.com/hyperswapai
"AIXBC
AixBC",TRADE,0.000787,$786.91K,↑2.32%,↑20.72%,$19.53K,"LIQ: $213.47K



Buy: 41
Sell: 38",1K,5mo,AIXBC,Hefh4Yv3cUGstf7wvEFPuKY7zAEhPxAvgZaoQnytW8md,https://dexscreener.com/solana/4nor6joBE27cv6GQ7nnrAcSL7yQ6H8sKhbM7ctJDmhrN,https://twitter.com/believe_capital
"BUDDY
CreatorBuddy",TRADE,0.000697,$696.64K,↑0.06%,↑136%,$177.34K,"LIQ: $163.85K



Buy: 269
Sell: 201",3K,5mo,BUDDY,65svCEvM4HdBHXKDxfhjm3yw1A6mKXkdS6HXWXDQTSNA,https://dexscreener.com/solana/7baLKCtR2Uhrh43xC6PWj8sPS57WUmkfPhWNZffPbNH,https://x.com/AlexFinnX/status/1917732321916248165
"WONDER
Wonder Sites",TRADE,0.000661,$642.07K,↑0.87%,↓6.24%,$102.22K,"LIQ: $161.55K



Buy: 145
Sell: 147",1K,5mo,WONDER,GEKjZKJZgQTCbi9evTW2GmhyamH3sq6Lid9dQMWqEcCY,https://dexscreener.com/solana/3reGmbW6ujzRABcYpArRSPLZQ8DS9hpkMZf5LU7SZVjU,https://x.com/absurdfounder
"PARAGON
Paragon Tweaks",TRADE,0.000634,$613.95K,↓3.44%,↑3.62%,$103.61K,"LIQ: $172.99K



Buy: 131
Sell: 165",2K,4mo,PARAGON,5NJfQ6UQ1LJTxtKLrsZQcbiSUWequSD6aZLNJaN7Zviv,https://dexscreener.com/solana/CLPidguwZ8EhYz4eRH4s345tTKwbMwj7FS2QYf3KmFhd,
"PM
Polymtrade",TRADE,0.000652,$600.89K,↓2.70%,↓1.74%,$35.71K,"LIQ: $264.64K



Buy: 184
Sell: 158",2K,4mo,PM,3BWA5RBXyPXuMGZmVL8Snefu573FMJNGpsVi79baiBLV,https://dexscreener.com/solana/ArujGJh4KPrH5xD8zxweVaN7R9sf4mgT46wd865Eq47j,https://x.com/polymtrade
"ALG
Algon FX",TRADE,0.000596,$596.45K,↓0.01%,↓6.93%,$9.66K,"LIQ: $186.79K



Buy: 24
Sell: 23",562,3mo,ALG,ATygpFdY1KUVn5YLB1CU6L9Xg5Z1FAY9qimtEae3wBLV,https://dexscreener.com/solana/9KTtaTjLJLUnVs7KiMEgtYPkjh34cNPd6XQdb78xErmw,https://x.com/AlgonFX_
"HUCH
Huch",TRADE,0.000588,$588.36K,↓4.16%,↑5.63%,$90.82K,"LIQ: $200.41K



Buy: 247
Sell: 204",3K,2mo,HUCH,B8zW7B8T7ntCiiRYw18jrFu9MBqMZVk9pP7nYyT5iBLV,https://dexscreener.com/solana/CXsCTuQdk6BFstvBZzBzxuZ12y9esgzUp3my95b6FATg,https://x.com/HuchFi
"PROMPT
promptbidder",TRADE,0.000587,$586.79K,↑1.26%,↑73.01%,$49.29K,"LIQ: $173.54K



Buy: 190
Sell: 155",2K,5mo,PROMPT,9NW7fiBu4uHpLx3rxiMccucyKwADwuptTpb8z2YYj9SH,https://dexscreener.com/solana/Gc2diG37yKXgbrEqfaHWBDA3JHaWAxJRcXZ6zASt5sw5,https://x.com/promptbidder
"AGOK
Agok",TRADE,0.000572,$571.47K,↓4.51%,↓3.45%,$76.81K,"LIQ: $113.70K



Buy: 324
Sell: 293",626,1mo,AGOK,2PNQfRoZYwtLJJdoCy9TvwgTuUCJtn54bdEZJQcHoBLV,https://dexscreener.com/solana/7weJbY9fmyBwr4dMqPNSQXbQXBJ5W4mJiy2WcN2ereCr,https://x.com/Agok_AI
"WOM
Word Of Mouth",TRADE,0.000501,$496.17K,↑5.15%,↑28.63%,$13.44K,"LIQ: $146.14K



Buy: 44
Sell: 14",952,4mo,WOM,4zDvBs8TYrp1Srdh7zWAj6BTUqiHPArEDbrPCK39vBLV,https://dexscreener.com/solana/9cfD1qwNxz528Ev9pSM1o4JAWDrMFHgDoxoWmuyXf8JX,https://x.com/womdotfun
"TWEETDM
TWEETDM",TRADE,0.000482,$482.42K,↓1.52%,↑7.39%,$6.93K,"LIQ: $247.79K



Buy: 12
Sell: 7",945,5mo,TWEETDM,Not Found,Not Found,Not Found
"STICK
StickDAO",TRADE,0.000481,$480.51K,↓5.77%,↑1.38%,$1.62K,"LIQ: $158.31K



Buy: 1
Sell: 1",397,4mo,STICK,3fAddCWnFZnVfHRaDf86sVDAD7jHXq97NULrpo4GGkth,https://dexscreener.com/solana/7ZrqyHCg28zrY82AHu2W7f3ycbZDbay7hECVPJnYekxJ,https://x.com/stick_dao
"YOURSELF
Yourself",TRADE,0.000472,$471.45K,↓4.25%,↓9.80%,$23.80K,"LIQ: $196.57K



Buy: 58
Sell: 49",2K,4mo,YOURSELF,Etd4QU7PGuzh4ozkzzBBjMmySNkU21BZamB7qPR1xBLV,https://dexscreener.com/solana/HSk5DDQFgJpUpQfrrnUwZi5H21qv3q1YvwxiKqmueidS,https://x.com/YourselfCapital
